season,season_type,week,game_date,game_key,play_id,play_sequence,player_id,field_goal_result,attempt_yards,make,attempt_number_in_game,attempt_number_in_season,prior_makes_in_game,makes_in_a_row,misses_in_a_row,attempt_number_in_game_cat,season_attempt_bin,makes_in_a_row_capped,misses_in_a_row_capped,distance_bin,player_idx,season_idx,attempt_yards_scaled,pred_prob,score,player_name
2010,Reg,17,1/2/2011,55062,398,17,21213,Made,48,1,1,1,0.0,0.0,0.0,1,1–5,0.0,0.0,"(40, 50]",5,0,1.0205014048107117,0.7037037,0.29629629850387573,ADAM VINATIERI
2010,Reg,17,1/2/2011,55062,1032,43,21213,Made,44,1,2,2,1.0,1.0,0.0,2,1–5,1.0,0.0,"(40, 50]",5,0,0.6315287643798431,0.8333333,0.1666666865348816,ADAM VINATIERI
2010,Reg,17,1/2/2011,55062,4193,170,21213,Made,43,1,3,3,2.0,2.0,0.0,3,1–5,2.0,0.0,"(40, 50]",5,0,0.5342856042721259,0.8526646,0.14733541011810303,ADAM VINATIERI
2010,Reg,17,1/2/2011,55057,289,12,27760,Made,25,1,1,1,0.0,0.0,0.0,1,1–5,0.0,0.0,"(0, 30]",19,0,-1.216091277666783,0.9896907,0.010309278964996338,BILLY CUNDIFF
2010,Reg,17,1/2/2011,55057,1455,58,27760,Made,47,1,2,2,1.0,1.0,0.0,2,1–5,1.0,0.0,"(40, 50]",19,0,0.9232582447029944,0.7169811,0.28301888704299927,BILLY CUNDIFF
2010,Reg,17,1/2/2011,55057,915,38,35427,Missed,29,0,1,1,0.0,0.0,0.0,1,1–5,0.0,0.0,"(0, 30]",43,0,-0.8271186372359144,0.9807692,-0.9807692170143127,CLINT STITSER
2010,Reg,17,1/2/2011,55065,282,10,33677,Made,43,1,1,1,0.0,0.0,0.0,1,1–5,0.0,0.0,"(40, 50]",39,0,0.5342856042721259,0.8526646,0.14733541011810303,CONNOR BARTH
2010,Reg,17,1/2/2011,55065,2591,98,33677,Made,32,1,2,2,1.0,1.0,0.0,2,1–5,1.0,0.0,"(30, 40]",39,0,-0.5353891569127629,0.95454544,0.045454561710357666,CONNOR BARTH
2010,Reg,17,1/2/2011,55065,3759,141,33677,Made,48,1,3,3,2.0,2.0,0.0,3,1–5,2.0,0.0,"(40, 50]",39,0,1.0205014048107117,0.8382353,0.16176468133926392,CONNOR BARTH
2010,Reg,17,1/2/2011,55064,635,27,33529,Missed,40,0,1,1,0.0,0.0,0.0,1,1–5,0.0,0.0,"(30, 40]",38,0,0.24255612394897438,0.8526646,-0.852664589881897,DANIEL CARPENTER
2010,Reg,17,1/2/2011,55059,1316,53,30030,Made,55,1,1,1,0.0,0.0,0.0,1,1–5,0.0,0.0,"(50, 60]",26,0,1.7012035255647318,0.44827586,0.5517241358757019,DAVE RAYNER
2010,Reg,17,1/2/2011,55059,2188,89,30030,Made,37,1,2,2,1.0,1.0,0.0,2,1–5,1.0,0.0,"(30, 40]",26,0,-0.04917335637417708,0.8526646,0.14733541011810303,DAVE RAYNER
2010,Reg,17,1/2/2011,55067,2905,120,22744,Made,43,1,1,1,0.0,0.0,0.0,1,1–5,0.0,0.0,"(40, 50]",6,0,0.5342856042721259,0.8526646,0.14733541011810303,DAVID AKERS
2010,Reg,17,1/2/2011,55067,3289,137,22744,Made,22,1,2,2,1.0,1.0,0.0,2,1–5,1.0,0.0,"(0, 30]",6,0,-1.5078207579899345,1.0,0.0,DAVID AKERS
2010,Reg,17,1/2/2011,55067,3174,132,34623,Missed,52,0,1,1,0.0,0.0,0.0,1,1–5,0.0,0.0,"(50, 60]",40,0,1.4094740452415804,0.6666667,-0.6666666865348816,DAVID BUEHLER
2010,Reg,17,1/2/2011,55065,2451,92,33337,Made,45,1,1,1,0.0,0.0,0.0,1,1–5,0.0,0.0,"(40, 50]",36,0,0.7287719244875602,0.8382353,0.16176468133926392,GARRETT HARTLEY
2010,Reg,17,1/2/2011,55065,3323,125,33337,Made,38,1,2,2,1.0,1.0,0.0,2,1–5,1.0,0.0,"(30, 40]",36,0,0.04806980373354008,0.8526646,0.14733541011810303,GARRETT HARTLEY
2010,Reg,17,1/2/2011,55068,720,31,35102,Missed,30,0,1,1,0.0,0.0,0.0,1,1–5,0.0,0.0,"(0, 30]",42,0,-0.7298754771281972,0.9807692,-0.9807692170143127,GRAHAM GANO
2010,Reg,17,1/2/2011,55070,1051,40,27523,Made,39,1,1,1,0.0,0.0,0.0,1,1–5,0.0,0.0,"(30, 40]",17,0,0.14531296384125725,0.8526646,0.14733541011810303,JEFF REED
2010,Reg,17,1/2/2011,55056,2394,93,10114,Made,23,1,1,1,0.0,0.0,0.0,1,1–5,0.0,0.0,"(0, 30]",2,0,-1.4105775978822173,1.0,0.0,JOHN KASAY
2010,Reg,17,1/2/2011,55071,1270,52,28258,Made,32,1,1,1,0.0,0.0,0.0,1,1–5,0.0,0.0,"(30, 40]",21,0,-0.5353891569127629,0.9557522,0.04424780607223511,JOSH BROWN
2010,Reg,17,1/2/2011,55071,2373,94,28258,Made,27,1,2,2,1.0,1.0,0.0,2,1–5,1.0,0.0,"(0, 30]",21,0,-1.0216049574513486,0.9807692,0.019230782985687256,JOSH BROWN
2010,Reg,17,1/2/2011,55061,1208,55,29090,Made,39,1,1,1,0.0,0.0,0.0,1,1–5,0.0,0.0,"(30, 40]",23,0,0.14531296384125725,0.8526646,0.14733541011810303,JOSH SCOBEE
2010,Reg,17,1/2/2011,55061,3108,133,29090,Missed,46,0,2,2,1.0,1.0,0.0,2,1–5,1.0,0.0,"(40, 50]",23,0,0.8260150845952774,0.7169811,-0.7169811129570007,JOSH SCOBEE
2010,Reg,17,1/2/2011,55068,512,22,26471,Made,20,1,1,1,0.0,0.0,0.0,1,1–5,0.0,0.0,"(0, 30]",15,0,-1.7023070782053689,1.0,0.0,LAWRENCE TYNES
2010,Reg,17,1/2/2011,55068,2486,102,26471,Missed,39,0,2,2,1.0,1.0,0.0,2,1–5,1.0,0.0,"(30, 40]",15,0,0.14531296384125725,0.8526646,-0.852664589881897,LAWRENCE TYNES
2010,Reg,17,1/2/2011,55060,2527,103,32386,Made,23,1,1,1,0.0,0.0,0.0,1,1–5,0.0,0.0,"(0, 30]",34,0,-1.4105775978822173,1.0,0.0,MASON CROSBY
2010,Reg,17,1/2/2011,55056,2580,100,27091,Made,47,1,1,1,0.0,0.0,0.0,1,1–5,0.0,0.0,"(40, 50]",16,0,0.9232582447029944,0.7169811,0.28301888704299927,MATT BRYANT
2010,Reg,17,1/2/2011,55069,1338,54,29018,Made,42,1,1,1,0.0,0.0,0.0,1,1–5,0.0,0.0,"(40, 50]",22,0,0.4370424441644087,0.8526646,0.14733541011810303,NATE KAEDING
2010,Reg,17,1/2/2011,55069,1685,69,29018,Made,45,1,2,2,1.0,1.0,0.0,2,1–5,1.0,0.0,"(40, 50]",22,0,0.7287719244875602,0.7209302,0.27906978130340576,NATE KAEDING
2010,Reg,17,1/2/2011,55069,2118,86,29018,Made,47,1,3,3,2.0,2.0,0.0,3,1–5,2.0,0.0,"(40, 50]",22,0,0.9232582447029944,0.8526646,0.14733541011810303,NATE KAEDING
2010,Reg,17,1/2/2011,55069,2601,107,29018,Made,37,1,4,4,3.0,3.0,0.0,4+,1–5,3.0,0.0,"(30, 40]",22,0,-0.04917335637417708,0.8526646,0.14733541011810303,NATE KAEDING
2010,Reg,17,1/2/2011,55069,3171,130,29018,Missed,53,0,5,5,4.0,4.0,0.0,4+,1–5,4.0,0.0,"(50, 60]",22,0,1.5067172053492974,0.7169811,-0.7169811129570007,NATE KAEDING
2010,Reg,17,1/2/2011,55061,567,25,25479,Made,26,1,1,1,0.0,0.0,0.0,1,1–5,0.0,0.0,"(0, 30]",11,0,-1.1188481175590659,0.98734176,0.012658238410949707,NEIL RACKERS
2010,Reg,17,1/2/2011,55061,1864,80,25479,Made,33,1,2,2,1.0,1.0,0.0,2,1–5,1.0,0.0,"(30, 40]",11,0,-0.43814599680504573,0.95454544,0.045454561710357666,NEIL RACKERS
