attempt_yards,attempt_number_in_game_cat,season_attempt_bin,prior_makes_in_game,makes_in_a_row_capped,misses_in_a_row_capped,make,pred_prob,score,player_id,season,game_key,game_date,player_name
48,1,1–5,0.0,0.0,0.0,1,0.78125,0.21875,21213,2010,55062,1/2/2011,ADAM VINATIERI
44,2,1–5,1.0,1.0,0.0,1,0.8113207,0.1886792778968811,21213,2010,55062,1/2/2011,ADAM VINATIERI
43,3,1–5,2.0,2.0,0.0,1,0.8543689,0.1456310749053955,21213,2010,55062,1/2/2011,ADAM VINATIERI
25,1,1–5,0.0,0.0,0.0,1,0.9768212,0.023178815841674805,27760,2010,55057,1/2/2011,BILLY CUNDIFF
47,2,1–5,1.0,1.0,0.0,1,0.7081081,0.291891872882843,27760,2010,55057,1/2/2011,BILLY CUNDIFF
29,1,1–5,0.0,0.0,0.0,0,0.9768212,-0.9768211841583252,35427,2010,55057,1/2/2011,CLINT STITSER
43,1,1–5,0.0,0.0,0.0,1,0.8484849,0.15151512622833252,33677,2010,55065,1/2/2011,CONNOR BARTH
32,2,1–5,1.0,1.0,0.0,1,0.90140843,0.09859156608581543,33677,2010,55065,1/2/2011,CONNOR BARTH
48,3,1–5,2.0,2.0,0.0,1,0.8113207,0.1886792778968811,33677,2010,55065,1/2/2011,CONNOR BARTH
40,1,1–5,0.0,0.0,0.0,0,0.8484849,-0.8484848737716675,33529,2010,55064,1/2/2011,DANIEL CARPENTER
55,1,1–5,0.0,0.0,0.0,1,0.6363636,0.3636363744735718,30030,2010,55059,1/2/2011,DAVE RAYNER
37,2,1–5,1.0,1.0,0.0,1,0.8545455,0.1454545259475708,30030,2010,55059,1/2/2011,DAVE RAYNER
43,1,1–5,0.0,0.0,0.0,1,0.8484849,0.15151512622833252,22744,2010,55067,1/2/2011,DAVID AKERS
22,2,1–5,1.0,1.0,0.0,1,0.9946524,0.005347609519958496,22744,2010,55067,1/2/2011,DAVID AKERS
52,1,1–5,0.0,0.0,0.0,0,0.7081081,-0.708108127117157,34623,2010,55067,1/2/2011,DAVID BUEHLER
45,1,1–5,0.0,0.0,0.0,1,0.8113207,0.1886792778968811,33337,2010,55065,1/2/2011,GARRETT HARTLEY
38,2,1–5,1.0,1.0,0.0,1,0.8543689,0.1456310749053955,33337,2010,55065,1/2/2011,GARRETT HARTLEY
30,1,1–5,0.0,0.0,0.0,0,0.9768212,-0.9768211841583252,35102,2010,55068,1/2/2011,GRAHAM GANO
39,1,1–5,0.0,0.0,0.0,1,0.8543689,0.1456310749053955,27523,2010,55070,1/2/2011,JEFF REED
23,1,1–5,0.0,0.0,0.0,1,0.9946524,0.005347609519958496,10114,2010,55056,1/2/2011,JOHN KASAY
32,1,1–5,0.0,0.0,0.0,1,0.9655172,0.03448277711868286,28258,2010,55071,1/2/2011,JOSH BROWN
27,2,1–5,1.0,1.0,0.0,1,0.9768212,0.023178815841674805,28258,2010,55071,1/2/2011,JOSH BROWN
39,1,1–5,0.0,0.0,0.0,1,0.8543689,0.1456310749053955,29090,2010,55061,1/2/2011,JOSH SCOBEE
46,2,1–5,1.0,1.0,0.0,0,0.78125,-0.78125,29090,2010,55061,1/2/2011,JOSH SCOBEE
20,1,1–5,0.0,0.0,0.0,1,0.9946524,0.005347609519958496,26471,2010,55068,1/2/2011,LAWRENCE TYNES
39,2,1–5,1.0,1.0,0.0,0,0.8543689,-0.8543689250946045,26471,2010,55068,1/2/2011,LAWRENCE TYNES
23,1,1–5,0.0,0.0,0.0,1,0.9946524,0.005347609519958496,32386,2010,55060,1/2/2011,MASON CROSBY
47,1,1–5,0.0,0.0,0.0,1,0.8076923,0.192307710647583,27091,2010,55056,1/2/2011,MATT BRYANT
42,1,1–5,0.0,0.0,0.0,1,0.8484849,0.15151512622833252,29018,2010,55069,1/2/2011,NATE KAEDING
45,2,1–5,1.0,1.0,0.0,1,0.8076923,0.192307710647583,29018,2010,55069,1/2/2011,NATE KAEDING
47,3,1–5,2.0,2.0,0.0,1,0.8484849,0.15151512622833252,29018,2010,55069,1/2/2011,NATE KAEDING
37,4+,1–5,3.0,3.0,0.0,1,0.8543689,0.1456310749053955,29018,2010,55069,1/2/2011,NATE KAEDING
53,4+,1–5,4.0,4.0,0.0,0,0.6363636,-0.6363636255264282,29018,2010,55069,1/2/2011,NATE KAEDING
